"nome_do_estudante","leituras_em_andamento","leituras_concluidas","total_de_leituras","tempo_de_leitura_minutos","questoes_respondidas","questoes_aprovadas","nivel","livros_escutados","tempo_de_escuta","tempo_de_escuta_minutos","nivel_numerico","compreensao_textual","engajamento_leitura","turma","periodo"
"Aluno_01",31,147,178,999.57,744,271,"N",0,"00s",0,3,36.42,82.58,"A","manha"
"Aluno_02",20,104,124,766.43,658,395,"N",0,"00s",0,3,60.03,83.87,"A","manha"
"Aluno_03",27,88,115,744.52,287,134,"N",0,"00s",0,3,46.69,76.52,"A","manha"
"Aluno_04",33,137,170,734.2,601,351,"N",0,"00s",0,3,58.4,80.59,"A","manha"
"Aluno_05",32,133,165,691.6,766,390,"N",0,"00s",0,3,50.91,80.61,"A","manha"
"Aluno_06",26,151,177,678.82,431,279,"N",0,"00s",0,3,64.73,85.31,"A","manha"
"Aluno_07",20,100,120,670.77,382,255,"N",0,"00s",0,3,66.75,83.33,"A","manha"
"Aluno_08",25,83,108,655.38,516,271,"N",0,"00s",0,3,52.52,76.85,"A","manha"
"Aluno_09",35,147,182,652.32,890,492,"N",0,"00s",0,3,55.28,80.77,"A","manha"
"Aluno_10",25,145,170,652.17,655,411,"N",0,"00s",0,3,62.75,85.29,"A","manha"
"Aluno_11",21,109,130,604.75,408,244,"N",0,"00s",0,3,59.8,83.85,"A","manha"
"Aluno_12",14,70,84,595.98,270,142,"N",0,"00s",0,3,52.59,83.33,"A","manha"
"Aluno_13",4,26,30,588.18,0,0,"N",0,"00s",0,3,0,86.67,"A","manha"
"Aluno_14",10,118,128,586.15,897,397,"N",9,"28min 15s",28.25,3,44.26,92.19,"A","manha"
"Aluno_15",17,82,99,586.13,209,146,"N",0,"00s",0,3,69.86,82.83,"A","manha"
"Aluno_16",19,85,104,447.55,220,150,"N",0,"00s",0,3,68.18,81.73,"A","manha"
"Aluno_17",35,122,157,431.43,397,265,"M",1,"05min 59s",5.98,3,66.75,77.71,"A","manha"
"Aluno_18",5,23,28,168.9,357,122,"N",1,"01min 37s",1.62,3,34.17,82.14,"A","manha"
"Aluno_19",0,0,0,0,0,0,"N",0,"00s",0,3,0,0,"A","manha"
"Aluno_20",0,0,0,0,0,0,"N",0,"00s",0,3,0,0,"A","manha"
"Aluno_21",0,0,0,0,0,0,"U",0,"00s",0,4,0,0,"A","manha"
"Aluno_22",6,171,177,1452.32,36,30,"N",0,"00s",0,3,83.33,96.61,"B","manha"
"Aluno_23",5,118,123,1264.83,0,0,"N",0,"00s",0,3,0,95.93,"B","manha"
"Aluno_24",11,113,124,1200.73,189,80,"N",0,"00s",0,3,42.33,91.13,"B","manha"
"Aluno_25",6,78,84,1066.53,397,205,"N",0,"00s",0,3,51.64,92.86,"B","manha"
"Aluno_26",4,61,65,1004,43,16,"N",0,"00s",0,3,37.21,93.85,"B","manha"
"Aluno_27",6,84,90,989.58,403,275,"N",0,"00s",0,3,68.24,93.33,"B","manha"
"Aluno_28",7,86,93,929.47,110,37,"N",0,"00s",0,3,33.64,92.47,"B","manha"
"Aluno_29",18,131,149,926.52,466,282,"N",0,"00s",0,3,60.52,87.92,"B","manha"
"Aluno_30",13,68,81,911.1,317,245,"N",0,"00s",0,3,77.29,83.95,"B","manha"
"Aluno_31",9,85,94,904.12,685,268,"N",0,"00s",0,3,39.12,90.43,"B","manha"
"Aluno_32",5,86,91,894.13,303,143,"N",0,"00s",0,3,47.19,94.51,"B","manha"
"Aluno_33",2,53,55,891.85,28,13,"N",0,"00s",0,3,46.43,96.36,"B","manha"
"Aluno_34",14,69,83,870.05,298,104,"N",0,"00s",0,3,34.9,83.13,"B","manha"
"Aluno_35",7,74,81,829.78,647,300,"N",0,"00s",0,3,46.37,91.36,"B","manha"
"Aluno_36",0,26,26,588.18,114,70,"N",22,"2h 31min 16s",151.27,3,61.4,100,"B","manha"
"Aluno_37",35,215,250,423.85,651,451,"M",0,"00s",0,3,69.28,86,"B","manha"
"Aluno_38",18,215,233,415.33,1075,573,"N",7,"29min ",29,3,53.3,92.27,"B","manha"
"Aluno_39",85,192,277,282.45,1745,882,"N",4,"40min 52s",40.87,3,50.54,69.31,"B","manha"
"Aluno_40",6,61,67,215.78,186,106,"M",0,"00s",0,3,56.99,91.04,"B","manha"
"Aluno_41",1,16,17,169.53,0,0,"N",0,"00s",0,3,0,94.12,"B","manha"
"Aluno_42",0,0,0,0,0,0,"U",0,"00s",0,4,0,0,"B","manha"
"Aluno_43",0,0,0,0,0,0,"U",0,"00s",0,4,0,0,"B","manha"
"Aluno_44",28,103,131,600.78,296,194,"N",0,"00s",0,3,65.54,78.63,"C","tarde"
"Aluno_45",9,51,60,579.73,142,94,"N",0,"00s",0,3,66.2,85,"C","tarde"
"Aluno_46",29,241,270,550.55,402,303,"S",0,"00s",0,4,75.37,89.26,"C","tarde"
"Aluno_47",21,155,176,543.35,607,403,"N",1,"09min 29s",9.48,3,66.39,88.07,"C","tarde"
"Aluno_48",45,264,309,482.32,1233,797,"S",1,"08min 39s",8.65,4,64.64,85.44,"C","tarde"
"Aluno_49",34,146,180,468.75,472,357,"O",0,"00s",0,3,75.64,81.11,"C","tarde"
"Aluno_50",22,126,148,460.65,1053,576,"O",0,"00s",0,3,54.7,85.14,"C","tarde"
"Aluno_51",28,187,215,457.58,869,580,"Q",4,"52min 40s",52.67,3,66.74,86.98,"C","tarde"
"Aluno_52",38,171,209,417.45,509,399,"U",0,"00s",0,4,78.39,81.82,"C","tarde"
"Aluno_53",15,98,113,411.93,607,351,"N",5,"14min 59s",14.98,3,57.83,86.73,"C","tarde"
"Aluno_54",59,148,207,410.6,920,522,"N",1,"10min 13s",10.22,3,56.74,71.5,"C","tarde"
"Aluno_55",28,188,216,392.42,1268,606,"M",0,"00s",0,3,47.79,87.04,"C","tarde"
"Aluno_56",72,188,260,375.75,573,430,"M",5,"26min 51s",26.85,3,75.04,72.31,"C","tarde"
"Aluno_57",29,173,202,358.7,584,316,"N",0,"00s",0,3,54.11,85.64,"C","tarde"
"Aluno_58",27,104,131,353.83,761,388,"S",0,"00s",0,4,50.99,79.39,"C","tarde"
"Aluno_59",27,136,163,343.5,801,402,"S",0,"00s",0,4,50.19,83.44,"C","tarde"
